Signal,Red,Yellow,Green,Vehicles_Crossed
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,24,5,20,54
Signal 2 RED,74,5,20,74
Signal 3 RED,99,5,20,25
Signal 4 GREEN,0,5,19,22
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,23,5,20,54
Signal 2 RED,73,5,20,74
Signal 3 RED,98,5,20,25
Signal 4 GREEN,0,5,18,25
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,22,5,20,54
Signal 2 RED,72,5,20,74
Signal 3 RED,97,5,20,25
Signal 4 GREEN,0,5,17,26
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,21,5,20,54
Signal 2 RED,71,5,20,74
Signal 3 RED,96,5,20,25
Signal 4 GREEN,0,5,16,26
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,20,5,20,54
Signal 2 RED,70,5,20,74
Signal 3 RED,95,5,20,25
Signal 4 GREEN,0,5,15,26
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,19,5,20,54
Signal 2 RED,69,5,20,74
Signal 3 RED,94,5,20,25
Signal 4 GREEN,0,5,14,26
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,18,5,20,54
Signal 2 RED,68,5,20,74
Signal 3 RED,93,5,20,25
Signal 4 GREEN,0,5,13,26
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,17,5,20,54
Signal 2 RED,67,5,20,74
Signal 3 RED,92,5,20,25
Signal 4 GREEN,0,5,12,26
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,16,5,20,54
Signal 2 RED,66,5,20,74
Signal 3 RED,91,5,20,25
Signal 4 GREEN,0,5,11,26
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,15,5,20,54
Signal 2 RED,65,5,20,74
Signal 3 RED,90,5,20,25
Signal 4 GREEN,0,5,10,26
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,14,5,20,54
Signal 2 RED,64,5,20,74
Signal 3 RED,89,5,20,25
Signal 4 GREEN,0,5,9,26
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,13,5,20,54
Signal 2 RED,63,5,20,74
Signal 3 RED,88,5,20,25
Signal 4 GREEN,0,5,8,27
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,12,5,20,54
Signal 2 RED,62,5,20,74
Signal 3 RED,87,5,20,25
Signal 4 GREEN,0,5,7,27
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,11,5,20,54
Signal 2 RED,61,5,20,74
Signal 3 RED,86,5,20,25
Signal 4 GREEN,0,5,6,27
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,10,5,20,54
Signal 2 RED,60,5,20,74
Signal 3 RED,85,5,20,25
Signal 4 GREEN,0,5,5,28
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,9,5,20,54
Signal 2 RED,59,5,20,74
Signal 3 RED,84,5,20,25
Signal 4 GREEN,0,5,4,28
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,8,5,20,54
Signal 2 RED,58,5,20,74
Signal 3 RED,83,5,20,25
Signal 4 GREEN,0,5,3,28
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,7,5,20,54
Signal 2 RED,57,5,20,74
Signal 3 RED,82,5,20,25
Signal 4 GREEN,0,5,2,28
,Red,Yellow,Green,Vehicles Crossed
Signal 1 RED,6,5,20,54
Signal 2 RED,56,5,20,74
Signal 3 RED,81,5,20,25
Signal 4 GREEN,0,5,1,28
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,20,54
Signal 2 RED,25,5,20,74
Signal 3 RED,75,5,20,25
Signal 4 RED,100,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,19,63
Signal 2 RED,24,5,20,74
Signal 3 RED,74,5,20,25
Signal 4 RED,99,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,18,67
Signal 2 RED,23,5,20,74
Signal 3 RED,73,5,20,25
Signal 4 RED,98,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,17,72
Signal 2 RED,22,5,20,74
Signal 3 RED,72,5,20,25
Signal 4 RED,97,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,16,77
Signal 2 RED,21,5,20,74
Signal 3 RED,71,5,20,25
Signal 4 RED,96,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,15,82
Signal 2 RED,20,5,20,74
Signal 3 RED,70,5,20,25
Signal 4 RED,95,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,14,85
Signal 2 RED,19,5,20,74
Signal 3 RED,69,5,20,25
Signal 4 RED,94,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,13,87
Signal 2 RED,18,5,20,74
Signal 3 RED,68,5,20,25
Signal 4 RED,93,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,12,87
Signal 2 RED,17,5,20,74
Signal 3 RED,67,5,20,25
Signal 4 RED,92,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,11,87
Signal 2 RED,16,5,20,74
Signal 3 RED,66,5,20,25
Signal 4 RED,91,5,20,30
,Red,Yellow,Green,Vehicles Crossed
Signal 1 GREEN,0,5,10,88
Signal 2 RED,15,5,20,74
